user_key,age,gender,date,itemID,itemDescription,brand,category,amount,price
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-08-13 00:00:00,555060, לייף גרבוני לייקרה ללא מכנסון 40 דנייר, לייף,"[' אופנה', 'אופנת נשים', 'אקססוריז לנשים', 'גרביונים']",1,39.9
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-08-13 00:00:00, mp-00036807, KUMI סניקרס Fluff Pale Blue, KUMI,"[' אופנה', 'אופנת נשים', 'נעלי נשים', 'נעלי ספורט וסניקרס נשים']",1,198.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-08-13 00:00:00,586723, קריסטל SWAROVSKI שרשרת פנסי סוליטר משובצת קריסטל, קריסטל SWAROVSKI,"[' אופנה', 'אופנת נשים', 'תכשיטים', 'סט תכשיטים']",1,109.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-12-06 00:00:00,600181, לייף לייף שלישיית תחתונים בגזרת מיני 3PP אפור, לייף,"[' אופנה', 'אופנת נשים', 'הלבשה תחתונה', 'תחתוני נשים']",1,54.9
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-12-06 00:00:00, mp-00052425, REPLAY זית צבע בגד גוף לייקרה ציקי, REPLAY,"[' אופנה', 'אופנת נשים', 'בגדי גוף']",1,169.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-12-06 00:00:00, mp-00015787, Faber-Castell טוש מכחול Pitt artist pen, Faber-Castell,"[' יצירה ותחביבים', 'יצירה לילדים', 'צבעים ועפרונות']",1,59.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-12-06 00:00:00, mp-00045934, Bunny Tummy שמלה מחטבת - מאוב, Bunny Tummy,"[' אופנה', 'אופנת נשים', 'הלבשה תחתונה', 'מחטבים']",1,392.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-10-10 00:00:00, mp-00044614, On נעלי  חסינות מים לנשים  19.99986 Cloud Waterproof Black / Lunar, On,"[' אופנה', 'אופנת נשים', 'נעלי נשים', 'נעלי ריצה לנשים']",1,656.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-10-10 00:00:00, mp-00006195, NIK NAK מארז בובות ומדבקות, NIK NAK,"[' יצירה ותחביבים', 'יצירה לילדים', 'מדבקות קעקועים']",1,69.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-10-10 00:00:00, mp-00049895, Keds סניקרס לילדים בצבע לבן, Keds,"[' אופנה', 'ילדים', 'נעלי ילדים', 'נעלי ספורט וסניקרס ילדים']",1,119.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2020-10-10 00:00:00, mp-00003131, Disney שולחן עץ מפרץ ההרפתקאות + 2 כיסאות, Disney,"[' לבית', 'ריהוט', 'רהיטי ילדים', 'כסאות ושולחנות ילדים']",1,279.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2021-05-30 00:00:00, mp-00049010, סימפלי ביבו מגק בוק עם טוש מים - ירוקות, סימפלי ביבו,"[' יצירה ותחביבים', 'יצירה לילדים', 'חוברות צביעה וציור']",1,29.9
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2021-05-30 00:00:00, mp-00042229, Hoka נעלי טיולים עמידות למים Toa GTX, Hoka,"[' אופנה', 'אופנת נשים', 'נעלי נשים', 'נעלי ריצה לנשים']",1,640.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2021-05-30 00:00:00, mp-00013442, Biancashirts Everly - חולצה לבנה בייבוא אישי, Biancashirts,"[' אופנה', 'אופנת נשים', 'חולצות וטופים', 'חולצות שרוול קצר']",1,215.0
ec2eac3508b24882bc45b09dfeee2ee3,35,female,2021-05-30 00:00:00, mp-00022129, boebody BOOB TAPE BLACK טייפ לחזה שחור, boebody,"[' אופנה', 'אופנת נשים', 'הלבשה תחתונה', 'חזיות']",1,69.0
